dial,level,seed,spread_tighten,j_phys,j_total,burned,cycles,adapt_frac,tried1,tried2,tried3,acc1,acc2,acc3,rules,fs_frac,seconds
eta,0.55,210,0.0,0.25232,0.28184,2748,30,0.067,0,1,1,0,1,0,6,0.058,7.4
eta,0.65,202,0.0,0.16261,0.20826,1291,30,0.033,0,0,1,0,0,0,5,0.492,8.3
eta,0.65,201,0.0,0.45974,0.46259,3769,30,0.7,16,2,3,8,2,0,7,0.433,17.5
eta,0.65,203,0.0,0.2399,0.27155,2558,30,0.033,0,0,1,0,0,0,5,0.25,9.6
eta,0.65,204,0.0,0.40618,0.41668,2958,30,0.567,13,1,3,7,0,1,6,0.342,16.4
eta,0.65,205,0.0,0.21417,0.25362,2081,30,0.5,7,5,3,2,5,0,10,0.442,12.6
eta,0.65,206,0.0,0.07896,0.12449,515,30,0.033,0,0,1,0,0,0,5,0.5,6.8
eta,0.65,207,0.0,0.28416,0.31234,2730,30,0.233,1,4,2,1,3,1,9,0.292,9.7
eta,0.65,208,0.0,0.46351,0.46536,3565,30,0.967,21,5,3,14,1,0,6,0.467,20.5
eta,0.65,209,0.0,0.43418,0.43973,3599,30,0.533,12,1,3,9,1,2,8,0.25,14.6
eta,0.65,210,0.0,0.2328,0.26779,2566,30,0.067,0,1,1,0,1,0,6,0.5,8.3
eta,0.75,201,0.0,0.48129,0.48191,3816,31,0.774,19,2,3,5,2,0,7,0.919,15.7
eta,0.75,202,0.0,0.11267,0.16985,855,31,0.097,0,1,2,0,0,0,5,0.895,8.9
eta,0.75,203,0.0,0.19553,0.23553,2031,30,0.1,0,0,3,0,0,0,5,0.858,8.5
eta,0.75,204,0.0,0.46906,0.47102,3140,30,0.8,17,3,4,9,1,2,8,0.783,16.8
eta,0.75,205,0.0,0.21771,0.26272,2098,31,0.581,7,8,3,7,5,0,10,0.734,13.6
eta,0.75,206,0.0,0.07706,0.12887,534,32,0.094,0,1,2,0,1,0,6,0.984,7.4
eta,0.75,207,0.0,0.35995,0.37594,3199,30,0.3,2,1,6,1,1,2,8,0.75,11.1
eta,0.75,208,0.0,0.46299,0.46605,3533,30,0.933,21,4,3,12,1,0,6,0.992,18.0
eta,0.75,209,0.0,0.51561,0.51295,3941,30,0.567,3,10,4,2,2,2,9,0.817,11.4
eta,0.75,210,0.0,0.24855,0.28153,2727,30,0.067,0,0,2,0,0,0,5,0.95,8.0
eta,0.85,202,0.0,0.14877,0.20277,1156,31,0.097,0,1,2,0,0,0,5,1.0,8.5
eta,0.85,201,0.0,0.47126,0.47422,3804,30,0.8,19,2,3,9,2,0,7,1.0,17.0
eta,0.85,203,0.0,0.16327,0.21002,1834,30,0.033,0,0,1,0,0,0,5,1.0,7.2
eta,0.85,205,0.0,0.22082,0.26456,2043,30,0.3,2,4,3,0,4,0,9,1.0,9.5
eta,0.85,204,0.0,0.4501,0.4554,3057,31,0.806,13,8,4,7,3,1,9,0.944,15.3
eta,0.85,207,0.0,0.29337,0.32168,2760,30,0.167,0,2,3,0,2,0,7,0.817,9.2
eta,0.85,206,0.0,0.45294,0.45359,3682,30,0.5,11,1,3,10,1,1,7,1.0,15.2
eta,0.85,208,0.0,0.40954,0.41882,2919,32,0.812,14,9,3,6,4,0,9,1.0,15.5
eta,0.85,209,0.0,0.49228,0.49201,3793,30,0.633,15,1,3,13,1,2,8,1.0,17.1
eta,0.85,210,0.0,0.2446,0.2798,2623,30,0.1,0,1,2,0,1,0,6,1.0,8.0
eta,0.95,202,0.0,0.16489,0.21696,1094,30,0.033,0,0,1,0,0,0,5,1.0,6.7
eta,0.95,203,0.0,0.18845,0.22947,1929,30,0.067,0,0,2,0,0,0,5,1.0,7.7
eta,0.95,201,0.0,0.40565,0.4179,3660,30,0.733,17,2,3,8,1,0,6,1.0,17.1
eta,0.95,205,0.0,0.22932,0.27014,2151,30,0.167,1,1,3,1,1,0,6,1.0,9.3
eta,0.95,204,0.0,0.43273,0.44175,3016,30,0.833,18,3,4,9,1,1,7,1.0,16.1
eta,0.95,206,0.0,0.36435,0.37685,2987,30,0.333,1,6,3,1,1,0,6,1.0,11.4
eta,0.95,207,0.0,0.29644,0.32435,2766,30,0.267,2,3,3,2,2,0,7,1.0,11.3
eta,0.95,208,0.0,0.40546,0.41684,2914,30,0.833,14,8,3,10,3,0,8,1.0,17.1
eta,0.95,209,0.0,0.30125,0.32942,2421,30,0.433,4,5,4,4,3,1,9,1.0,12.4
eta,0.95,210,0.0,0.42802,0.43679,3754,30,0.467,10,1,3,7,1,0,6,1.0,12.2
