scenario,arm,seed,source,package,gate,accepted,dJ
S1,F5EvAI,222,template,False,,True,-0.0043
S1,F5EvAI,222,template,False,,True,-0.00038
S1,F5EvAI,222,template,True,G2 package (name empty or taken),False,0.0
S1,F5EvAI,222,template,False,,True,-0.00019
S1,F5EvAI,222,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,222,template,True,G2 package (name empty or taken),False,0.0
S1,F5EvAI,222,template,True,G2 package (name empty or taken),False,0.0
S2,F5EvAI,222,template,False,,False,0.0
S2,F5EvAI,222,template,False,,True,-0.01022
S2,F5EvAI,222,template,True,,True,-0.00164
S2,F5EvAI,222,template,False,,True,0.00318
S2,F5EvAI,222,template,False,,True,0.01754
S3,F5EvAI,222,template,False,,False,0.0
S3,F5EvAI,222,template,False,,True,-0.0239
S3,F5EvAI,222,template,True,,True,-0.00948
S3,F5EvAI,222,template,False,,True,-0.0042
S3,F5EvAI,222,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,222,template,True,G2 package (name empty or taken),False,0.0
S3,F5EvAI,222,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,223,template,False,,False,0.0
S3,F5EvAI,223,template,False,,False,0.0
S3,F5EvAI,223,template,True,,True,-0.02299
S3,F5EvAI,223,template,False,,True,-0.00019
S5,F5EvAI,222,template,False,,True,-0.00151
S5,F5EvAI,222,template,False,,True,-0.00158
S5,F5EvAI,222,template,True,,True,-0.01277
S4,F5EvAI,222,template,False,,True,-0.00152
S4,F5EvAI,222,template,False,,True,-0.00649
S4,F5EvAI,222,template,True,,True,-0.01457
S4,F5EvAI,222,template,False,G2 duplicate cell,False,0.0
S4,F5EvAI,223,template,False,,False,0.0
S4,F5EvAI,223,template,False,,False,0.0
S4,F5EvAI,223,template,True,,True,-0.00556
S4,F5EvAI,223,template,False,,False,0.0
S4,F5EvAI,223,template,False,,True,-0.00038
S4,F5EvAI,223,template,True,G2 package (name empty or taken),False,0.0
S4,F5EvAI,223,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,223,template,False,,False,0.0
S5,F5EvAI,223,template,False,,True,-0.01056
S5,F5EvAI,223,template,True,,True,-0.01732
S5,F5EvAI,223,template,False,,True,-0.00111
S5,F5EvAI,223,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,223,template,True,G2 package (name empty or taken),False,0.0
